id,name,source,rarity,acquired_runs,wins,win_rate,ci_low,ci_high,baseline_delta,median_floor,rarity_rank,rarity_pool,a0_runs,a0_wins,a0_win_rate,a0_rarity_rank,a0_rarity_pool,a10_runs,a10_wins,a10_win_rate,a10_rarity_rank,a10_rarity_pool
FIDDLE,小提琴,原版,Ancient,16,12,0.75,0.5050168346449122,0.8981793250878696,0.18062720608199834,34.0,,,11,8,0.7272727272727273,,,0,0,,,
PAELS_HORN,佩尔之角,原版,Ancient,31,23,0.7419354838709677,0.5675386419056621,0.8629829409360625,0.1725626899529661,18,,,10,4,0.4,,,4,3,0.75,,
PAELS_TOOTH,佩尔之牙,原版,Ancient,46,34,0.7391304347826086,0.597408464719844,0.843991135543574,0.16975764086460698,18.0,,,14,9,0.6428571428571429,,,7,4,0.5714285714285714,,
PAELS_BLOOD,佩尔之血,原版,Ancient,126,93,0.7380952380952381,0.6550979653395279,0.8070040515737109,0.16872244417723647,18.0,,,45,27,0.6,,,21,17,0.8095238095238095,,
BIIIG_HUG,大～抱抱,原版,Ancient,34,25,0.7352941176470589,0.5688285871705534,0.8539880932278825,0.1659213237290572,18.0,,,8,5,0.625,,,7,4,0.5714285714285714,,
PAELS_CLAW,佩尔之爪,原版,Ancient,52,38,0.7307692307692307,0.5974778016637287,0.8323103970483349,0.16139643685122906,18.0,,,20,15,0.75,,,7,4,0.5714285714285714,,
PAELS_GROWTH,佩尔的增生组织,原版,Ancient,44,32,0.7272727272727273,0.5815112690754881,0.8365361837615662,0.15789993335472563,18.0,,,18,11,0.6111111111111112,,,6,5,0.8333333333333334,,
MEAT_CLEAVER,切肉刀,原版,Ancient,202,144,0.7128712871287128,0.646965818476038,0.7708314537193243,0.14349849321071118,1.0,,,67,41,0.6119402985074627,,,44,32,0.7272727272727273,,
DUSTY_TOME,尘封魔典,原版,Ancient,137,97,0.708029197080292,0.6270518074528381,0.7776585702816537,0.13865640316229033,18,,,46,26,0.5652173913043478,,,29,22,0.7586206896551724,,
PAELS_WING,佩尔之翼,原版,Ancient,109,75,0.6880733944954128,0.5959527795002422,0.7673888542263236,0.11870060057741116,18,,,33,20,0.6060606060606061,,,20,12,0.6,,
PAELS_TEARS,佩尔之泪,原版,Ancient,115,79,0.6869565217391305,0.5973204854580024,0.7645061062609501,0.1175837278211288,18,,,55,31,0.5636363636363636,,,17,14,0.8235294117647058,,
EMPTY_CAGE,空鸟笼,原版,Ancient,35,24,0.6857142857142857,0.5202023638793081,0.8144915532573418,0.11634149179628406,18,,,15,11,0.7333333333333333,,,7,2,0.2857142857142857,,
YUMMY_COOKIE,美味饼干,原版,Ancient,175,120,0.6857142857142857,0.6135709283262377,0.749879473099803,0.11634149179628406,18,,,71,44,0.6197183098591549,,,25,14,0.56,,
NEOWS_TALISMAN,涅奥的护符,原版,Ancient,65,43,0.6615384615384615,0.5403837691551205,0.7646649668790333,0.09216566762045986,1,,,29,15,0.5172413793103449,,,7,4,0.5714285714285714,,
POMANDER,橙型香盒,原版,Ancient,93,61,0.6559139784946236,0.5549092077246491,0.7445493129663152,0.08654118457662197,1,,,32,17,0.53125,,,15,9,0.6,,
SILKEN_TRESS,华美发束,原版,Ancient,205,132,0.6439024390243903,0.5762582703731653,0.7062526847464112,0.0745296451063886,1,,,81,45,0.5555555555555556,,,41,23,0.5609756097560976,,
NEOWS_BONES,涅奥骨骰,原版,Ancient,147,94,0.6394557823129252,0.5591967089601741,0.7126118529600396,0.07008298839492355,1,,,53,31,0.5849056603773585,,,31,17,0.5483870967741935,,
ELECTRIC_SHRYMP,放电异虾,原版,Ancient,22,14,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.06699084244563469,18.0,,,8,5,0.625,,,2,1,0.5,,
PANDORAS_BOX,潘多拉魔盒,原版,Ancient,43,27,0.627906976744186,0.47859809159688477,0.7562366099034943,0.05853418282618439,18,,,15,10,0.6666666666666666,,,10,3,0.3,,
WINGED_BOOTS,羽翼之靴,原版,Ancient,91,57,0.6263736263736264,0.5237596521778156,0.7187503248511486,0.057000832455624706,1,,,31,16,0.5161290322580645,,,18,11,0.6111111111111112,,
STORYBOOK,故事书,原版,Ancient,40,25,0.625,0.47032439137301096,0.7577702083276673,0.05562720608199834,18.0,,,12,9,0.75,,,9,5,0.5555555555555556,,
SCROLL_BOXES,卷轴箱,原版,Ancient,145,90,0.6206896551724138,0.5395617306166215,0.6955878055227932,0.05131686125441215,1,,,58,27,0.46551724137931033,,,27,20,0.7407407407407407,,
NEOWS_SACRIFICE,涅奥的牺牲,原版,Ancient,42,26,0.6190476190476191,0.4681404026715268,0.7500027423604485,0.049674825129617406,1.0,,,11,7,0.6363636363636364,,,8,4,0.5,,
SILVER_CRUCIBLE,白银熔炉,原版,Ancient,194,120,0.6185567010309279,0.5485302943097695,0.6839791113234063,0.049183907112926195,1.0,,,60,32,0.5333333333333333,,,37,21,0.5675675675675675,,
